selected_class_of_motor_vehicle,item,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Light rail vehicle,Number involved in accident,21.0,17.0,11.0,13.0,10.0,10.0,6.0,3.0,5.0,6.0,4.0
Light rail vehicle,Number licensed (mid-year),139.0,138.0,138.0,138.0,139.0,139.0,139.0,139.0,142.0,145.0,147.0
Light rail vehicle,Annual vehicle-kilometres (millions),8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0
Light rail vehicle,"Involvement rate (per 1,000 vehicles)",151.1,123.2,79.7,94.2,71.9,71.9,43.2,21.6,35.2,41.4,27.2
Light rail vehicle,Involvement rate (per million vehicle-kilometres),2.72,2.18,1.38,1.61,1.24,1.24,0.83,0.41,0.71,0.9,0.59
All motor vehicles,Number involved in accident,21833.0,21729.0,22361.0,23291.0,23212.0,23661.0,24822.0,22063.0,26190.0,22499.0,26614.0
All motor vehicles,Number licensed (mid-year),665643.0,690052.0,714927.0,737312.0,757705.0,776729.0,790336.0,797262.0,815203.0,810413.0,819129.0
All motor vehicles,Annual vehicle-kilometres (millions),12836.0,12844.0,13288.0,13692.0,13665.0,13962.0,14011.0,13344.0,14143.0,14018.0,14662.0
All motor vehicles,"Involvement rate (per 1,000 vehicles)",32.8,31.5,31.3,31.6,30.6,30.5,31.4,27.7,32.1,27.8,32.5
All motor vehicles,Involvement rate (per million vehicle-kilometres),1.7,1.69,1.68,1.7,1.7,1.69,1.77,1.65,1.85,1.61,1.82
